fips,T001_001,T002_002,T002_003,T004_002,T004_003,T007A004,T007A005,T007A006,T007A009,T012_001,T012_002,T013_002,T013_003,T013_005,T014_010,T017_001,T017_002,T017_006,T017_009,T151_001,T151_002,T151_003,T152_001,T152_002,T152_003,T030_001,T030_002,T033_001,T033_002,T033_006,T033_007,T034_001,T034_002,T034_006,T034_007,T056A001,T056A004,T056A008,T056A012,T057_001,T095_001,T095_003,T117_001,T117_005,T117_007,T134_001,T134_002,T134_003,T134_004,T134_005,T145_001,T145_002,year
02188,7601,.2136758,35572.5837308899,4080,3521,2281,2694,3704,6491,25.700001,26,868,30,51,66,1830,1441,372,198,2111,445,1666,1786,350,1436,594,88,5203,3457,906,1746,2845,1991,608,854,1830,253,604,1149,60870,2694,864,7524,1179,3979,101,0,66,10,25,7577,2525,2012
02195,3822,1.1645401,3281.98205705972,2007,1815,657,818,1118,2800,42.200001,42,2754,50,84,158,1671,991,89,350,1402,62,1340,1302,66,1236,151,16,3064,2338,102,726,1573,1266,89,307,1671,282,593,954,61696,2149,478,3770,346,2740,183,39,20,66,58,3762,917,2012
02198,5603,1.42829,3922.87282257678,3074,2529,1152,1408,1855,4160,39,41.099998,2791,12,44,135,2291,1442,256,275,2082,167,1915,1666,169,1497,236,14,4343,2859,326,1484,2409,1673,218,736,2291,444,998,1578,45774,2987,696,5554,675,3374,102,0,52,31,19,5601,1931,2012
02220,8909,3.1038151,2870.33906875244,4460,4449,1688,2052,2869,6659,38.799999,38.599998,5869,70,468,441,3623,2392,330,618,3075,264,2811,2965,258,2707,574,24,7131,5127,312,2004,3579,2681,181,898,3623,360,929,2010,66895,4094,471,8653,577,6780,595,89,139,75,292,8650,1696,2012
02230,1050,2.321341,452.324789149602,549,501,182,197,267,716,46.700001,46.799999,799,3,177,11,395,237,42,51,397,18,379,386,24,362,15,4,856,723,55,133,447,396,40,51,395,22,89,213,71583,611,216,1045,27,877,141,2,37,88,14,1050,241,2012
02240,7039,.28418809,24768.8086276848,3839,3200,1581,1910,2560,5443,36.299999,39,5694,107,62,251,2400,1715,146,220,2542,197,2345,1937,172,1765,476,16,5363,3567,311,1796,2981,2080,196,901,2400,272,758,1470,62712,3889,1489,6924,800,4652,529,0,124,198,207,6805,1523,2012
02261,9614,.28078371,34239.878325305,5217,4397,1978,2382,3153,7356,39.599998,41,7090,28,346,355,3706,2637,369,452,3591,447,3144,2870,202,2668,508,26,7473,5182,383,2291,4092,2964,257,1128,3706,450,1098,2000,67421,6057,2351,9444,869,7126,527,29,96,171,231,9535,2463,2012
02270,7556,.44235161,17081.4334213131,3970,3586,2619,3147,4208,6651,21.799999,21.799999,235,8,8,34,1704,1405,432,81,1748,378,1370,1600,451,1149,686,83,4769,2812,752,1957,2504,1576,497,928,1704,362,834,1382,40608,2176,472,7514,1623,2292,11,0,1,5,5,7507,2260,2012
02275,2368,.93173927,2541.48330571416,1127,1241,362,451,601,1346,50.799999,53.900002,1744,13,36,21,1160,678,118,240,871,62,809,896,98,798,143,3,2002,1193,71,809,978,592,49,386,1160,234,451,832,47348,1472,312,2338,281,1569,101,7,0,17,77,2347,449,2012
02282,644,.084188983,7649.45698281228,370,274,115,152,214,450,39.099998,46.200001,248,8,4,14,259,163,36,32,266,18,248,164,11,153,34,0,515,411,18,104,310,246,15,64,259,12,66,144,71705,454,195,644,44,536,25,4,16,4,1,644,120,2012
